kpi_id,kpi_name,formula,evidence_status,frequency,owner,powerbi_measure,data_layer,data_status,source_project,source_version,claim_boundary,as_of_period
KPI-001,Observed bad rate matured,Matured bad accounts / matured accounts,Observed,Monthly,Portfolio Risk,Observed Bad Rate Matured,Governance,Definition,P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,KPI definitions and ownership,ALL
KPI-002,Average PD matured,Sum PD for matured / matured accounts,Observed/Derived,Monthly,Model Owner,Average PD Matured,Governance,Definition,P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,KPI definitions and ownership,ALL
KPI-003,Calibration gap matured,Observed bad rate matured - average PD matured,Observed/Derived,Monthly,Model Owner,Calibration Gap Matured,Governance,Definition,P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,KPI definitions and ownership,ALL
KPI-004,PD PSI,Fixed development-bin PSI,Derived,Monthly,Model Risk,Latest Eligible PD PSI,Governance,Definition,P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,KPI definitions and ownership,ALL
KPI-005,30+ DPD rate,Synthetic 30+ stock / synthetic snapshot accounts,Synthetic,Monthly,Collections,30 Plus DPD Rate,Governance,Definition,P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,KPI definitions and ownership,ALL
KPI-006,New default flow rate,New defaults / accounts at risk,Synthetic,Monthly,Collections,New Default Flow Rate,Governance,Definition,P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,KPI definitions and ownership,ALL
KPI-007,Policy approval rate,Approved / common matured population,Observed/Simulated,Version,Credit Policy,Policy Approval Rate,Governance,Definition,P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,KPI definitions and ownership,ALL
KPI-008,Approved bad rate,Approved bads / matured approved,Observed/Simulated,Version,Credit Policy,Approved Bad Rate Matured,Governance,Definition,P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,KPI definitions and ownership,ALL
KPI-009,Weighted ECL rate,Weighted ECL / current EAD,Proxy,Reporting date,Finance Risk,Weighted ECL Rate,Governance,Definition,P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,KPI definitions and ownership,ALL
KPI-010,Open action count,Count action records with OPEN status,Governance,Monthly,Risk Committee,Open Action Count,Governance,Definition,P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,KPI definitions and ownership,ALL
