segment,accounts,ead,ecl_weighted,ecl_downside,dimension,ecl_share,downside_uplift,data_layer,data_status,source_project,source_version,claim_boundary,as_of_period
36 months,114278,493262585.36946934,41027528.49622641,58555785.20540045,term,0.3457851205508337,0.42723160160101387,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,ECL concentration and downside overlay,2018-12
60 months,72288,685388429.2901162,77622829.94276537,108474327.4829632,term,0.6542148794491662,0.39745391353221676,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,ECL concentration and downside overlay,2018-12
car,2030,8697999.273957858,696874.3043419212,986073.6172759068,purpose,0.005873343439583821,0.41499494404099885,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,ECL concentration and downside overlay,2018-12
credit_card,38928,234620061.44820657,23189778.611829195,32692172.066020288,purpose,0.19544634265688315,0.4097664584578606,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,ECL concentration and downside overlay,2018-12
debt_consolidation,108131,724265186.3613706,77486144.48374693,108918132.01193893,purpose,0.6530628773750324,0.40564655445961695,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,ECL concentration and downside overlay,2018-12
home_improvement,13854,90787080.62084334,6831915.064716152,9686349.804575084,purpose,0.057580231148050165,0.41780887391309013,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,ECL concentration and downside overlay,2018-12
house,1123,9495575.621117888,788535.8867712859,1109572.8838745318,purpose,0.00664587867365558,0.4071304838360038,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,ECL concentration and downside overlay,2018-12
major_purchase,4346,25527703.03518122,1904820.4946232825,2699011.490722055,purpose,0.016054064392925643,0.41693744809053007,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,ECL concentration and downside overlay,2018-12
medical,2258,10135464.047425602,966124.917680618,1361160.99890579,purpose,0.008142621146630457,0.4088871676900101,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,ECL concentration and downside overlay,2018-12
moving,1266,4626768.513645551,426825.62235638575,604280.998201925,purpose,0.0035973395105742814,0.4157561461888285,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,ECL concentration and downside overlay,2018-12
other,11351,53024088.72158074,4764937.782628458,6725012.282665762,purpose,0.04015948915214206,0.41135363974387057,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,ECL concentration and downside overlay,2018-12
renewable_energy,123,631763.8574818976,63307.03537825112,88971.3453423655,purpose,0.0005335595796855737,0.40539427902086295,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,ECL concentration and downside overlay,2018-12
small_business,1825,12904882.790436152,1202932.8237821227,1695056.894661228,purpose,0.010138467676021834,0.4091035352513081,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,ECL concentration and downside overlay,2018-12
vacation,1330,3924693.4656850533,327629.8467947337,463548.85184762435,purpose,0.0027613051583252994,0.4148553814086616,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,ECL concentration and downside overlay,2018-12
wedding,1,9746.902653172549,531.5643424496017,769.4423321722851,purpose,4.480090489763872e-06,0.4475055430288516,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,ECL concentration and downside overlay,2018-12
A - Low,21228,157367366.05146036,4002077.243324654,5790863.964776807,risk_grade,0.033730005505061,0.44696456682234115,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,ECL concentration and downside overlay,2018-12
B - Moderate,39102,271413836.98402727,13017311.210108098,18845415.061304826,risk_grade,0.10971152031370729,0.4477194834729876,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,ECL concentration and downside overlay,2018-12
C - Watch,36125,219282592.9971019,14817777.882263504,21463764.322419006,risk_grade,0.12488607769257251,0.44851437867148597,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,ECL concentration and downside overlay,2018-12
D - High,52837,309517208.21357614,44945755.39082684,62914003.080953635,risk_grade,0.3788084248724564,0.39977629775900936,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,ECL concentration and downside overlay,2018-12
E - Very High,37274,221070010.41341993,41867436.71246868,58016066.25890938,risk_grade,0.3528639716162028,0.38570857961388927,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,ECL concentration and downside overlay,2018-12
